id,spot_name,type,company,district,address,apparatus_name,latitude,longitude,twd97X,twd97Y,wgs84aX,wgs84aY
30,新北市政府行政大樓14F-1,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號14樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
31,新北市政府行政大樓14F-2,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號14樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
32,新北市政府行政大樓14F-3,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號14樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
33,新北市政府行政大樓14F-4,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號14樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
34,新北市政府行政大樓14F-5,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號14樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
35,新北市政府行政大樓14F-6,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號14樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
36,新北市政府行政大樓14F-7,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號14樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
37,新北市政府行政大樓15F-1,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號15樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
38,新北市政府行政大樓15F-2,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號15樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
39,新北市政府行政大樓15F-3,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號15樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
40,新北市政府行政大樓15F-4,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號15樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
41,新北市政府行政大樓15F-5,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號15樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
42,新北市政府行政大樓15F-6,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號15樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
43,新北市政府行政大樓15F-7,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號15樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
44,新北市政府行政大樓16F-1,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號16樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
45,新北市政府行政大樓16F-2,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號16樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
46,新北市政府行政大樓16F-3,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號16樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
47,新北市政府行政大樓16F-4,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號16樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
48,新北市政府行政大樓16F-5,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號16樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
49,新北市政府行政大樓16F-6,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號16樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
50,新北市政府行政大樓16F-7,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號16樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
51,新北市政府行政大樓16F-8,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號16樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
52,新北市政府行政大樓16F-9,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號16樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
53,新北市政府行政大樓17F-1,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號17樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
54,新北市政府行政大樓17F-2,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號17樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
55,新北市政府行政大樓17F-3,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號17樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
56,新北市政府行政大樓17F-4,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號17樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
57,新北市政府行政大樓17F-5,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號17樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
58,新北市政府行政大樓17F-6,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號17樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
59,新北市政府行政大樓18F-1,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號18樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
60,新北市政府行政大樓18F-2,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號18樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
61,新北市政府行政大樓18F-3,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號18樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
62,新北市政府行政大樓18F-4,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號18樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
63,新北市政府行政大樓18F-5,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號18樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
64,新北市政府行政大樓18F-6,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號18樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
65,新北市政府行政大樓18F-7,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號18樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
66,新北市政府行政大樓18F-8,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號18樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
67,新北市政府行政大樓18F-9,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號18樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
68,新北市政府行政大樓18F-10,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號18樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
69,新北市政府行政大樓19F-1,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號19樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
70,新北市政府行政大樓19F-2,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號19樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
71,新北市政府行政大樓19F-3,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號19樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
72,新北市政府行政大樓19F-4,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號19樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
73,新北市政府行政大樓19F-5,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號19樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
74,新北市政府行政大樓19F-6,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號19樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
75,新北市政府行政大樓19F-7,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號19樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
76,新北市政府行政大樓1F-1,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號1樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
77,新北市政府行政大樓1F-10,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號1樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
78,新北市政府行政大樓1F-11,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號1樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
79,新北市政府行政大樓1F-2,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號1樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
80,新北市政府行政大樓1F-3,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號1樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
81,新北市政府行政大樓1F-4,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號1樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
82,新北市政府行政大樓1F-5,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號1樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
83,新北市政府行政大樓1F-6,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號1樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
84,新北市政府行政大樓1F-7,NewTaipei,大同資訊,板橋區,新北市板橋區中山路1段161號1樓,新北市政府,25.0122139,121.465731,296995.84,2767196.47,121.465624,25.012081
